ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Recency_scaled,Income_scaled,Total_Spending,Total_Spending_scaled,Total_Purchases,Total_Purchases_scaled,Total_Campaign_Response,Cluster
5524,1957,2,0.21428571428571427,58138.0,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,0.30703926349227456,0.28801358260860627,1617,1.6789444643408544,22,1.3130810603587604,1,1
2174,1954,2,0.21428571428571427,46344.0,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,-0.38366417634974903,-0.26295797740240356,27,-0.9616393133919969,4,-1.1852568158842176,0,0
4141,1965,2,0.25892857142857145,71613.0,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,-0.7980862402549632,0.9175151741931712,776,0.2822583278167488,20,1.0354879629984295,0,1
6182,1984,2,0.25892857142857145,26646.0,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,-0.7980862402549632,-1.1831748494642038,53,-0.9184599560202648,6,-0.9076637185238866,0,0
5324,1981,4,0.38571428571428573,58293.0,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1.550305455207917,0.29525460277154564,422,-0.30564523024452755,14,0.20270867091743688,0,0
7446,1967,3,0.25892857142857145,62513.0,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,-1.143437960175975,0.4923972162399585,716,0.18261365695890536,20,1.0354879629984295,0,1
965,1971,2,0.10357142857142858,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,-0.5218048643181538,0.17108278604191496,590,-0.026640151842565882,17,0.6190983169579332,0,1
6177,1985,4,0.38571428571428573,33454.0,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,-0.5908752083023561,-0.8651305574042619,169,-0.7258135923617675,8,-0.6300706211635557,0,0
4855,1974,4,0.25892857142857145,30351.0,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,-1.0398324441996714,-1.010091109440396,46,-0.9300851676203464,5,-1.0464602672040522,1,0
5899,1950,4,0.25892857142857145,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,0.6523909834132863,-2.164122858376463,49,-0.9251029340774544,1,-1.6016464619247137,1,0
1994,1983,2,0.38571428571428573,52247.0,1,0,15-11-2013,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,-1.3161138201364808,0.012808100157795783,19,-0.974925269506376,3,-1.324053364564383,0,0
387,1976,1,0.38571428571428573,7500.0,0,0,13-11-2012,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,0.3415744354843757,-2.077604346494117,61,-0.9051739999058857,5,-1.0464602672040522,0,0
2125,1959,2,0.10357142857142858,63033.0,0,0,15-11-2013,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,1.1358833913027029,0.5166896709801421,1102,0.8236610394776982,15,0.3415052195976023,0,1
8180,1952,3,0.10357142857142858,59354.0,1,1,15-11-2013,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,0.13436340353176865,0.34482055369334325,310,-0.4916486158458353,12,-0.07488442644289399,0,0
2569,1987,2,0.38571428571428573,17323.0,0,0,10-10-2012,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,-0.38366417634974903,-1.6187105332002258,46,-0.9300851676203464,4,-1.1852568158842176,0,0
2114,1946,4,0.21428571428571427,82800.0,0,0,24-11-2012,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,-0.9016917562312667,1.4401299649209283,1315,1.1773996210230424,25,1.7294707063992567,3,1
9736,1980,2,0.38571428571428573,41850.0,1,1,24-12-2012,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,0.06529305954756628,-0.4729008458685286,96,-0.8470479419054769,6,-0.9076637185238866,0,0
4939,1946,2,0.25892857142857145,37760.0,0,0,31-08-2012,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,-1.0052972722075701,-0.6639703456518956,317,-0.48002340424575357,11,-0.21368097512305942,0,0
6565,1949,3,0.38571428571428573,76995.0,0,1,28-03-2013,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,1.4466999392316133,1.1689420807540711,1782,1.952967309199924,24,1.5906741577190913,1,1
2278,1985,5,0.21428571428571427,33812.0,1,0,03-11-2012,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,1.2740240792711075,-0.8484061366408279,133,-0.7856003948764735,6,-0.9076637185238866,0,0
9360,1982,2,0.38571428571428573,37040.0,0,0,08-08-2012,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,-0.2800586603734455,-0.6976060522152266,316,-0.48168414876005095,11,-0.21368097512305942,0,0
5376,1979,2,0.38571428571428573,2447.0,1,0,06-01-2013,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,-0.24552348838134433,-2.313661603805939,1730,1.8666085944564597,28,2.1458603524397533,0,1
1993,1949,4,0.38571428571428573,58607.0,0,1,23-12-2012,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,0.47971512345278045,0.30992350813388725,972,0.6077642526190374,14,0.20270867091743688,1,1
4047,1954,4,0.38571428571428573,65324.0,0,1,11-01-2014,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,-1.696000712049594,0.623716620614297,544,-0.10303439950024586,17,0.6190983169579332,0,1
1409,1951,2,0.25892857142857145,40689.0,0,1,18-03-2013,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,0.6869261554053875,-0.5271384227019,444,-0.26910885092998493,13,0.06391212223727145,0,0
7892,1969,2,0.21428571428571427,18589.0,0,0,02-01-2013,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,1.3776295952474111,-1.559567749159702,75,-0.8819235767057222,6,-0.9076637185238866,0,0
2404,1976,2,0.38571428571428573,53359.0,1,1,27-05-2013,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,-1.557860024081189,0.06475658029449605,257,-0.579668075103597,10,-0.3524775238032249,0,0
5255,1986,2,0.21428571428571427,52247.0,1,0,20-02-2013,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0,-1.0398324441996714,0.012808100157795783,637,0.05141484032941149,27,2.007063803759588,0,1
9422,1989,2,0.38571428571428573,38360.0,1,0,31-05-2013,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,-0.7980862402549632,-0.635940590182453,131,-0.7889218839050682,7,-0.7688671698437212,0,0
1966,1965,4,0.38571428571428573,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1.6193757991921194,1.5250601239933392,1672,1.770285412627211,25,1.7294707063992567,1,1
6864,1989,3,0.10357142857142858,10979.0,0,0,22-05-2014,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0,-0.5218048643181538,-1.9150784810304655,30,-0.9566570798491048,6,-0.9076637185238866,0,0
3033,1963,3,0.25892857142857145,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,0.2379689195080722,-0.6237943628123612,318,-0.4783626597314562,10,-0.3524775238032249,0,0
5710,1970,2,0.25892857142857145,40548.0,0,1,10-10-2012,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0,-0.6254103802944573,-0.533725415237219,120,-0.8071900735623395,7,-0.7688671698437212,1,0
7373,1952,4,0.10357142857142858,46610.0,0,2,29-10-2012,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1,-1.4197193361127844,-0.2505314524776174,302,-0.5049345719602144,11,-0.21368097512305942,1,0
8755,1946,3,0.38571428571428573,68657.0,0,0,20-02-2013,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0,-1.557860024081189,0.7794219122470506,1196,0.9797710238216529,17,0.6190983169579332,0,1
10738,1951,3,0.21428571428571427,49389.0,1,1,29-08-2013,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0,0.20343374751597101,-0.12070696839498242,65,-0.898531021848696,5,-1.0464602672040522,0,0
4339,1970,4,0.38571428571428573,67353.0,0,1,31-12-2013,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0,-0.4181993483418502,0.7185039103601287,913,0.5097803262754913,23,1.4518776090389258,0,1
10755,1976,5,0.38571428571428573,23718.0,1,0,02-09-2013,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0,0.9286723593500957,-1.3199600561550837,81,-0.8719591096199378,6,-0.9076637185238866,0,0
8595,1973,2,0.034375,42429.0,0,1,11-02-2014,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0,1.7229813151684228,-0.4458521318405165,67,-0.8952095328201013,5,-1.0464602672040522,0,0
2968,1943,4,0.10357142857142858,48948.0,0,0,01-02-2013,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1,0.13436340353176865,-0.14130883866502272,902,0.4915121366182201,22,1.3130810603587604,2,1
8601,1980,2,0.38571428571428573,80011.0,0,1,29-04-2013,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0,-1.5923951960732903,1.309838318247136,1395,1.3102591821668337,19,0.896691414318264,0,1
503,1985,3,0.38571428571428573,20559.0,1,0,12-03-2013,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0,1.34309442325531,-1.467536718701699,53,-0.9184599560202648,5,-1.0464602672040522,0,0
8430,1957,2,0.25892857142857145,21994.0,0,1,24-12-2012,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0,-1.557860024081189,-1.4004988868706154,22,-0.9699430359634839,3,-1.324053364564383,0,0
7281,1959,4,0.21428571428571427,52247.0,0,0,05-11-2013,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0,1.0668130473185005,0.012808100157795783,186,-0.6975809356187118,8,-0.6300706211635557,0,0
2139,1975,3,0.38571428571428573,7500.0,1,0,02-10-2013,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0,-1.0398324441996714,-2.077604346494117,31,-0.9549963353348073,5,-1.0464602672040522,0,0
1371,1976,2,0.21428571428571427,79941.0,0,0,28-06-2014,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0,0.790531671381691,1.3065681801090343,984,0.627693186790606,15,0.3415052195976023,0,1
9909,1996,5,0.38571428571428573,7500.0,0,0,09-11-2012,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1,-0.8671565842391655,-2.077604346494117,122,-0.8038685845337448,7,-0.7688671698437212,1,0
7286,1968,2,0.25892857142857145,41728.0,1,0,24-05-2013,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0,1.4812351112237145,-0.47860022948064856,55,-0.91513846699167,4,-1.1852568158842176,0,0
7244,1951,2,0.21428571428571427,52247.0,2,1,01-01-2014,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0,1.6193757991921194,0.012808100157795783,124,-0.80054709550515,7,-0.7688671698437212,0,0
6566,1954,4,0.38571428571428573,72550.0,1,1,08-11-2012,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0,-0.3491290043576479,0.9612883089846174,1319,1.184042599080232,19,0.896691414318264,0,1
8614,1957,2,0.034375,65486.0,0,1,12-05-2014,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0,-0.6944807242786596,0.6312846545910465,507,-0.16448194652924933,16,0.48030176827776777,0,1
4114,1964,3,0.38571428571428573,79143.0,0,0,11-08-2012,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0,-1.6269303680653915,1.2692886053346757,1693,1.8051610474274562,28,2.1458603524397533,0,1
1331,1977,2,0.21428571428571427,35790.0,1,0,02-01-2013,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0,0.16889857552386983,-0.7560013761098987,72,-0.8869058102486144,5,-1.0464602672040522,0,0
2225,1977,2,0.10357142857142858,82582.0,0,0,07-06-2014,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1,0.16889857552386983,1.4299458204336974,1617,1.6789444643408544,20,1.0354879629984295,3,1
9381,1978,2,0.38571428571428573,66373.0,1,1,12-06-2013,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0,0.27250409150017335,0.6727219764267058,606,-6.823961380763022e-05,16,0.48030176827776777,0,1
